method,n,global_frame_psnr_avg,global_frame_psnr_std,backend_input_psnr_avg,backend_input_psnr_std,motion_reference_coverage_avg,motion_reference_coverage_std,motion_coverage_lift_avg,motion_coverage_lift_std,motion_distortion_share_avg,motion_distortion_share_std,motion_distortion_lift_avg,motion_distortion_lift_std,motion_high_psnr_avg,motion_high_psnr_std,motion_low_psnr_avg,motion_low_psnr_std,rat_region_distortion_share_avg,rat_region_distortion_share_std,rat_region_distortion_lift_avg,rat_region_distortion_lift_std,own_region_distortion_share_avg,own_region_distortion_share_std,own_region_distortion_lift_avg,own_region_distortion_lift_std
Motion-only-mask,20,14.811470,0.302366,29.143019,2.002712,0.731555,0.103249,7.181457,1.000762,0.672666,0.105269,6.595544,1.016789,6.528197,0.790545,19.269644,1.450747,0.332408,0.124228,3.271899,1.222725,0.913784,0.030125,8.972209,0.297845
RAT-mask,20,14.692309,0.391430,29.143019,2.002712,0.251123,0.101332,2.472896,0.997353,0.237400,0.096677,2.328862,0.950296,11.267968,1.950769,15.280938,0.702034,0.911989,0.028220,8.977032,0.289845,0.911989,0.028220,8.977032,0.289845
RAT-no-trajectory-mask,20,14.708745,0.387767,29.143019,2.002712,0.254993,0.094411,2.517506,0.934747,0.240830,0.089668,2.363014,0.884803,11.119715,1.641086,15.311097,0.691764,0.551037,0.075317,5.427550,0.769791,0.911466,0.028456,8.994619,0.292257
Random-mask,20,14.633758,0.499169,29.143019,2.002712,0.102987,0.006878,1.009239,0.067329,0.104841,0.009891,1.028094,0.094515,14.379074,0.489949,14.495091,0.492642,0.103468,0.010108,1.017751,0.092067,0.907855,0.029925,8.896696,0.293048
Shifted-RAT-fusion-mask,20,14.710748,0.556748,29.143019,2.002712,0.083197,0.029295,0.819184,0.289297,0.088655,0.029651,0.869442,0.290777,15.380504,1.336507,14.488516,0.586472,0.062392,0.036800,0.615508,0.365822,0.906862,0.029892,8.924888,0.298658
Shifted-RAT-mask,20,14.709702,0.589263,29.143019,2.002712,0.079792,0.030798,0.785457,0.304245,0.086195,0.032040,0.845029,0.313100,15.597245,1.680538,14.478038,0.615600,0.043427,0.025283,0.428704,0.252569,0.906916,0.030143,8.921246,0.299664
VideoMAE-only-mask,20,14.371944,0.943612,29.143019,2.002712,0.069704,0.088111,0.690568,0.872929,0.073016,0.073311,0.717413,0.722226,17.819255,4.043395,14.099740,1.087232,0.027344,0.023279,0.269587,0.230521,0.911059,0.031357,9.025976,0.310659
