video_id,class,method,top_k,incremental_motion_distortion_share,incremental_motion_distortion_lift,incremental_motion_total_psnr,incremental_motion_high_psnr,incremental_motion_low_psnr
Basketball_v_Basketball_g02_c01,Basketball,Shifted-RAT-fusion-mask,20,0.066526,0.662713,15.608854,17.395601,15.448402
Basketball_v_Basketball_g02_c01,Basketball,VideoMAE-only-mask,20,0.172105,1.714464,16.002260,13.660975,16.363079
Basketball_v_Basketball_g03_c01,Basketball,RAT-mask,20,0.375092,3.666789,14.654020,9.011162,16.227201
Basketball_v_Basketball_g03_c01,Basketball,Motion-only-mask,20,0.695698,6.800935,14.798389,6.472703,19.496683
Basketball_v_Basketball_g03_c01,Basketball,Random-mask,20,0.111443,1.089433,15.050068,14.678061,15.094554
Basketball_v_Basketball_g03_c01,Basketball,Shifted-RAT-mask,20,0.122302,1.195589,15.563843,14.788023,15.661732
Basketball_v_Basketball_g03_c01,Basketball,RAT-no-trajectory-mask,20,0.333962,3.264709,14.650306,9.511861,15.946654
Basketball_v_Basketball_g03_c01,Basketball,Shifted-RAT-fusion-mask,20,0.134004,1.309981,15.588985,14.416334,15.745165
Basketball_v_Basketball_g03_c01,Basketball,VideoMAE-only-mask,20,0.030064,0.293893,15.891368,21.209473,15.555274
Basketball_v_Basketball_g04_c01,Basketball,RAT-mask,20,0.195693,1.927037,14.599105,11.750204,15.079819
Basketball_v_Basketball_g04_c01,Basketball,Motion-only-mask,20,0.723621,7.125688,14.992611,6.464343,20.112494
Basketball_v_Basketball_g04_c01,Basketball,Random-mask,20,0.100202,0.986714,14.895773,14.953862,14.889256
Basketball_v_Basketball_g04_c01,Basketball,Shifted-RAT-mask,20,0.143368,1.411786,15.517247,14.019559,15.724240
Basketball_v_Basketball_g04_c01,Basketball,RAT-no-trajectory-mask,20,0.163005,1.605153,14.476198,12.421034,14.783904
Basketball_v_Basketball_g04_c01,Basketball,Shifted-RAT-fusion-mask,20,0.156043,1.536593,15.405453,13.539866,15.677182
Basketball_v_Basketball_g04_c01,Basketball,VideoMAE-only-mask,20,0.006251,0.061555,14.632376,26.739722,14.194543
Biking_v_Biking_g01_c01,Biking,RAT-mask,20,0.191275,1.863454,15.156178,12.452992,15.607810
Biking_v_Biking_g01_c01,Biking,Motion-only-mask,20,0.800309,7.796821,15.327731,6.408556,21.853788
Biking_v_Biking_g01_c01,Biking,Random-mask,20,0.113065,1.101511,15.681176,15.261288,15.731899
Biking_v_Biking_g01_c01,Biking,Shifted-RAT-mask,20,0.114296,1.113502,15.861190,15.394279,15.917945
Biking_v_Biking_g01_c01,Biking,RAT-no-trajectory-mask,20,0.288747,2.813049,15.338455,10.846683,16.347854
Biking_v_Biking_g01_c01,Biking,Shifted-RAT-fusion-mask,20,0.101244,0.986341,15.851516,15.911244,15.844736
Biking_v_Biking_g01_c01,Biking,VideoMAE-only-mask,20,0.130900,1.275262,15.748334,14.692340,15.887276
Biking_v_Biking_g02_c01,Biking,RAT-mask,20,0.219908,2.148005,15.249280,11.928927,15.858759
Biking_v_Biking_g02_c01,Biking,Motion-only-mask,20,0.629353,6.147356,15.136264,7.249380,18.977598
Biking_v_Biking_g02_c01,Biking,Random-mask,20,0.099091,0.967898,14.962437,15.104142,14.946564
Biking_v_Biking_g02_c01,Biking,Shifted-RAT-mask,20,0.131019,1.279758,14.724281,13.653004,14.865113
Biking_v_Biking_g02_c01,Biking,RAT-no-trajectory-mask,20,0.217280,2.122338,15.267825,11.999679,15.862699
Biking_v_Biking_g02_c01,Biking,Shifted-RAT-fusion-mask,20,0.126857,1.239104,14.883443,13.952365,15.003524
Biking_v_Biking_g02_c01,Biking,VideoMAE-only-mask,20,0.038322,0.374318,14.263076,18.530668,13.963715
Biking_v_Biking_g03_c01,Biking,RAT-mask,20,0.343606,3.286879,14.865440,9.697603,16.214260
Biking_v_Biking_g03_c01,Biking,Motion-only-mask,20,0.867912,8.302312,15.147111,5.955120,23.458940
Biking_v_Biking_g03_c01,Biking,Random-mask,20,0.102142,0.977072,15.246336,15.347072,15.234726
Biking_v_Biking_g03_c01,Biking,Shifted-RAT-mask,20,0.098012,0.937567,15.363049,15.643024,15.331510
Biking_v_Biking_g03_c01,Biking,RAT-no-trajectory-mask,20,0.282556,2.702886,15.014289,10.696012,15.976877
Biking_v_Biking_g03_c01,Biking,Shifted-RAT-fusion-mask,20,0.077758,0.743822,15.400555,16.685866,15.272575
Biking_v_Biking_g03_c01,Biking,VideoMAE-only-mask,20,0.000858,0.008207,15.686555,36.544862,15.210751
Biking_v_Biking_g04_c01,Biking,RAT-mask,20,0.205763,2.029466,14.975936,11.902118,15.512159
Biking_v_Biking_g04_c01,Biking,Motion-only-mask,20,0.760771,7.503576,15.243790,6.491107,20.991376
Biking_v_Biking_g04_c01,Biking,Random-mask,20,0.088979,0.877610,14.945698,15.512684,14.886137
Biking_v_Biking_g04_c01,Biking,Shifted-RAT-mask,20,0.098010,0.966688,14.948586,15.095722,14.932294
Biking_v_Biking_g04_c01,Biking,RAT-no-trajectory-mask,20,0.163851,1.616078,14.547114,12.462492,14.859998
Biking_v_Biking_g04_c01,Biking,Shifted-RAT-fusion-mask,20,0.100115,0.987450,14.996789,15.051639,14.990644
Biking_v_Biking_g04_c01,Biking,VideoMAE-only-mask,20,0.135874,1.340138,14.909467,13.637973,15.079417
Diving_v_Diving_g01_c01,Diving,RAT-mask,20,0.169247,1.632607,15.708339,13.579523,16.038315
Diving_v_Diving_g01_c01,Diving,Motion-only-mask,20,0.786835,7.590053,15.411526,6.609078,21.649055
Diving_v_Diving_g01_c01,Diving,Random-mask,20,0.102770,0.991353,15.588087,15.625802,15.583746
Diving_v_Diving_g01_c01,Diving,Shifted-RAT-mask,20,0.042005,0.405194,15.676388,19.599760,15.387452
Diving_v_Diving_g01_c01,Diving,RAT-no-trajectory-mask,20,0.190074,1.833516,15.666469,13.033622,16.106713
Diving_v_Diving_g01_c01,Diving,Shifted-RAT-fusion-mask,20,0.060007,0.578842,15.666281,18.040683,15.459728
Diving_v_Diving_g01_c01,Diving,VideoMAE-only-mask,20,0.055018,0.530717,15.332841,18.084212,15.103300
Diving_v_Diving_g02_c01,Diving,RAT-mask,20,0.130351,1.282830,15.394576,14.312887,15.535776
Diving_v_Diving_g02_c01,Diving,Motion-only-mask,20,0.682018,6.711955,15.642158,7.373668,20.152764
Diving_v_Diving_g02_c01,Diving,Random-mask,20,0.107930,1.062170,15.282217,15.020279,15.312864
Diving_v_Diving_g02_c01,Diving,Shifted-RAT-mask,20,0.088370,0.869677,15.420462,16.026880,15.356914
Diving_v_Diving_g02_c01,Diving,RAT-no-trajectory-mask,20,0.143981,1.416962,15.410579,13.896997,15.620381
Diving_v_Diving_g02_c01,Diving,Shifted-RAT-fusion-mask,20,0.075151,0.739582,15.138407,16.448544,15.012334
Diving_v_Diving_g02_c01,Diving,VideoMAE-only-mask,20,0.139096,1.368891,14.348772,12.985084,14.533863
Diving_v_Diving_g03_c01,Diving,RAT-mask,20,0.092175,0.908514,14.692132,15.108817,14.647500
Diving_v_Diving_g03_c01,Diving,Motion-only-mask,20,0.773928,7.628153,15.139740,6.315546,21.132656
Diving_v_Diving_g03_c01,Diving,Random-mask,20,0.096367,0.949831,14.793126,15.016663,14.768593
Diving_v_Diving_g03_c01,Diving,Shifted-RAT-mask,20,0.084804,0.835860,14.956097,15.734760,14.876344
Diving_v_Diving_g03_c01,Diving,RAT-no-trajectory-mask,20,0.123884,1.221047,14.789382,13.922057,14.899154
Diving_v_Diving_g03_c01,Diving,Shifted-RAT-fusion-mask,20,0.075396,0.743133,14.959472,16.248806,14.835304
Diving_v_Diving_g03_c01,Diving,VideoMAE-only-mask,20,0.301902,2.975669,15.231582,10.495736,16.327806
Diving_v_Diving_g04_c01,Diving,RAT-mask,20,0.219057,2.147040,15.451062,12.132659,16.057497
Diving_v_Diving_g04_c01,Diving,Motion-only-mask,20,0.782807,7.672529,15.322964,6.473578,21.487130
Diving_v_Diving_g04_c01,Diving,Random-mask,20,0.108107,1.059589,15.533622,15.282248,15.563126
Diving_v_Diving_g04_c01,Diving,Shifted-RAT-mask,20,0.054650,0.535639,15.741146,18.452424,15.517851
Diving_v_Diving_g04_c01,Diving,RAT-no-trajectory-mask,20,0.206112,2.020164,15.402648,12.348781,15.937685
Diving_v_Diving_g04_c01,Diving,Shifted-RAT-fusion-mask,20,0.060076,0.588822,15.719042,18.019205,15.520746
Diving_v_Diving_g04_c01,Diving,VideoMAE-only-mask,20,0.047582,0.466368,15.798137,19.110847,15.542494
WalkingWithDog_v_WalkingWithDog_g01_c01,WalkingWithDog,RAT-mask,20,0.242125,2.387893,14.738156,10.958008,15.477860
WalkingWithDog_v_WalkingWithDog_g01_c01,WalkingWithDog,Motion-only-mask,20,0.780304,7.695533,14.854566,5.992178,20.972027
WalkingWithDog_v_WalkingWithDog_g01_c01,WalkingWithDog,Random-mask,20,0.093269,0.919841,14.421552,14.784426,14.382447
WalkingWithDog_v_WalkingWithDog_g01_c01,WalkingWithDog,Shifted-RAT-mask,20,0.019445,0.191774,13.964212,21.136322,13.585172
WalkingWithDog_v_WalkingWithDog_g01_c01,WalkingWithDog,RAT-no-trajectory-mask,20,0.271421,2.676818,14.721239,10.445050,15.632154
WalkingWithDog_v_WalkingWithDog_g01_c01,WalkingWithDog,Shifted-RAT-fusion-mask,20,0.031898,0.314581,14.172184,19.194852,13.848649
WalkingWithDog_v_WalkingWithDog_g01_c01,WalkingWithDog,VideoMAE-only-mask,20,0.012922,0.127440,13.718124,22.665070,13.310288
WalkingWithDog_v_WalkingWithDog_g02_c01,WalkingWithDog,RAT-mask,20,0.289456,2.832563,14.897484,10.375689,15.913426
WalkingWithDog_v_WalkingWithDog_g02_c01,WalkingWithDog,Motion-only-mask,20,0.760722,7.444280,14.928070,6.209843,20.670893
WalkingWithDog_v_WalkingWithDog_g02_c01,WalkingWithDog,Random-mask,20,0.077674,0.760107,14.129496,15.320751,14.012504
WalkingWithDog_v_WalkingWithDog_g02_c01,WalkingWithDog,Shifted-RAT-mask,20,0.056019,0.548191,13.867173,16.477855,13.649390
WalkingWithDog_v_WalkingWithDog_g02_c01,WalkingWithDog,RAT-no-trajectory-mask,20,0.265063,2.593855,14.821479,10.682023,15.690828
WalkingWithDog_v_WalkingWithDog_g02_c01,WalkingWithDog,Shifted-RAT-fusion-mask,20,0.054912,0.537360,13.980737,16.678087,13.757865
WalkingWithDog_v_WalkingWithDog_g02_c01,WalkingWithDog,VideoMAE-only-mask,20,0.008761,0.085734,13.492274,24.160756,13.062340
WalkingWithDog_v_WalkingWithDog_g03_c01,WalkingWithDog,RAT-mask,20,0.109862,1.075257,15.037672,14.722548,15.075027
WalkingWithDog_v_WalkingWithDog_g03_c01,WalkingWithDog,Motion-only-mask,20,0.655983,6.420341,15.344398,7.268817,19.510533
WalkingWithDog_v_WalkingWithDog_g03_c01,WalkingWithDog,Random-mask,20,0.105163,1.029267,15.119205,14.993926,15.133693
WalkingWithDog_v_WalkingWithDog_g03_c01,WalkingWithDog,Shifted-RAT-mask,20,0.055869,0.546807,15.060883,17.682546,14.842488
WalkingWithDog_v_WalkingWithDog_g03_c01,WalkingWithDog,RAT-no-trajectory-mask,20,0.121832,1.192416,15.095230,14.330951,15.191384
WalkingWithDog_v_WalkingWithDog_g03_c01,WalkingWithDog,Shifted-RAT-fusion-mask,20,0.071416,0.698969,15.156644,16.712064,15.010358
WalkingWithDog_v_WalkingWithDog_g03_c01,WalkingWithDog,VideoMAE-only-mask,20,0.190902,1.868422,14.707139,11.992390,15.159054
WalkingWithDog_v_WalkingWithDog_g04_c01,WalkingWithDog,RAT-mask,20,0.276399,2.708665,14.729002,10.401449,15.666570
WalkingWithDog_v_WalkingWithDog_g04_c01,WalkingWithDog,Motion-only-mask,20,0.729085,7.144908,14.896574,6.356607,20.100800
WalkingWithDog_v_WalkingWithDog_g04_c01,WalkingWithDog,Random-mask,20,0.090286,0.884792,14.401154,14.932743,14.344665
WalkingWithDog_v_WalkingWithDog_g04_c01,WalkingWithDog,Shifted-RAT-mask,20,0.073200,0.717351,14.172477,15.615159,14.035176
WalkingWithDog_v_WalkingWithDog_g04_c01,WalkingWithDog,RAT-no-trajectory-mask,20,0.253564,2.484885,14.826431,10.873367,15.629063
WalkingWithDog_v_WalkingWithDog_g04_c01,WalkingWithDog,Shifted-RAT-fusion-mask,20,0.059738,0.585419,14.233424,16.558755,14.033491
WalkingWithDog_v_WalkingWithDog_g04_c01,WalkingWithDog,VideoMAE-only-mask,20,0.006026,0.059052,13.658660,25.946347,13.217466
