experiment,video_id,class,policy,policy_slug,seed,top_k,offset_row,offset_col,sigma,epsilon,delta,cover,raw_errshare,inc_errshare,raw_psnr,incremental_psnr
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,RAT-fusion,rat_fusion,3,20,,,127.387416893,8.000000000,0.000100000,0.210261341,0.204959246,0.205389347,15.021094144,15.179882604
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Shifted-RAT-fusion,shifted_rat_fusion_r3_c4,3,20,3,4,127.387416893,8.000000000,0.000100000,0.096739795,0.092377193,0.086679768,14.677729677,14.802886663
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,VideoMAE-only,videomae_only,3,20,,,127.387416893,8.000000000,0.000100000,0.004020628,0.012215807,0.005157785,13.288548835,13.427879802
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,RAT+traj,rat_traj,4,20,,,127.387416893,8.000000000,0.000100000,0.191836378,0.188699442,0.188577845,14.968355648,15.114843890
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Motion-reference,motion_reference,4,20,,,127.387416893,8.000000000,0.000100000,0.502508522,0.478826664,0.494580487,15.111257844,15.273222575
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Random,random,4,20,,,127.387416893,8.000000000,0.000100000,0.099956298,0.089619633,0.084015567,14.510970587,14.651978013
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Shifted-RAT+traj,shifted_rat_traj_r3_c4,4,20,3,4,127.387416893,8.000000000,0.000100000,0.067109518,0.068274200,0.061744801,14.727717242,14.850943600
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,RAT-fusion,rat_fusion,4,20,,,127.387416893,8.000000000,0.000100000,0.210261341,0.207964288,0.208410328,15.008539127,15.168475701
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Shifted-RAT-fusion,shifted_rat_fusion_r3_c4,4,20,3,4,127.387416893,8.000000000,0.000100000,0.096739795,0.091855592,0.086489022,14.636273988,14.761436464
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,VideoMAE-only,videomae_only,4,20,,,127.387416893,8.000000000,0.000100000,0.004020628,0.010675847,0.003623615,13.240251687,13.382189478
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,RAT+traj,rat_traj,5,20,,,127.387416893,8.000000000,0.000100000,0.209369810,0.209312039,0.210122061,14.927970031,15.072084073
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Motion-reference,motion_reference,5,20,,,127.387416893,8.000000000,0.000100000,0.502508522,0.475650684,0.489904072,15.088356037,15.244436689
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Random,random,5,20,,,127.387416893,8.000000000,0.000100000,0.098540337,0.090735764,0.086254287,14.519797322,14.654587472
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Shifted-RAT+traj,shifted_rat_traj_r3_c4,5,20,3,4,127.387416893,8.000000000,0.000100000,0.063875535,0.067988660,0.061457361,14.701318394,14.819857445
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,RAT-fusion,rat_fusion,5,20,,,127.387416893,8.000000000,0.000100000,0.210261341,0.210824528,0.211380992,15.012146825,15.168839454
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Shifted-RAT-fusion,shifted_rat_fusion_r3_c4,5,20,3,4,127.387416893,8.000000000,0.000100000,0.096739795,0.092038092,0.086902240,14.618609338,14.740580225
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,VideoMAE-only,videomae_only,5,20,,,127.387416893,8.000000000,0.000100000,0.004020628,0.010798872,0.003750639,13.238640607,13.375434303
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,RAT+traj,rat_traj,6,20,,,127.387416893,8.000000000,0.000100000,0.187466131,0.184741062,0.183997965,14.956595822,15.103054206
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Motion-reference,motion_reference,6,20,,,127.387416893,8.000000000,0.000100000,0.502508522,0.469667147,0.483907979,15.075584245,15.235616817
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Random,random,6,20,,,127.387416893,8.000000000,0.000100000,0.101232410,0.092570637,0.087102550,14.592492406,14.729131366
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Shifted-RAT+traj,shifted_rat_traj_r3_c4,6,20,3,4,127.387416893,8.000000000,0.000100000,0.077807884,0.080255906,0.074215513,14.787987321,14.911475148
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,RAT-fusion,rat_fusion,6,20,,,127.387416893,8.000000000,0.000100000,0.210261341,0.207953777,0.208656650,15.041867173,15.201604047
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Shifted-RAT-fusion,shifted_rat_fusion_r3_c4,6,20,3,4,127.387416893,8.000000000,0.000100000,0.096739795,0.091837187,0.086446211,14.690471718,14.815703349
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,VideoMAE-only,videomae_only,6,20,,,127.387416893,8.000000000,0.000100000,0.004020628,0.011551995,0.004448128,13.297946133,13.437128584
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,RAT+traj,rat_traj,7,20,,,127.387416893,8.000000000,0.000100000,0.206712700,0.206117453,0.207041874,15.063584959,15.220639410
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Motion-reference,motion_reference,7,20,,,127.387416893,8.000000000,0.000100000,0.502508522,0.478543040,0.494632904,15.135345418,15.300981506
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Random,random,7,20,,,127.387416893,8.000000000,0.000100000,0.095149025,0.088432868,0.083381437,14.583884715,14.731584074
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Shifted-RAT+traj,shifted_rat_traj_r3_c4,7,20,3,4,127.387416893,8.000000000,0.000100000,0.069836553,0.072594220,0.065928389,14.796407976,14.929628674
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,RAT-fusion,rat_fusion,7,20,,,127.387416893,8.000000000,0.000100000,0.210261341,0.212364198,0.213726524,15.046699527,15.212795269
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Shifted-RAT-fusion,shifted_rat_fusion_r3_c4,7,20,3,4,127.387416893,8.000000000,0.000100000,0.096739795,0.092299741,0.086819018,14.685420557,14.818598969
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,VideoMAE-only,videomae_only,7,20,,,127.387416893,8.000000000,0.000100000,0.004020628,0.011352344,0.004177034,13.328896124,13.474317631
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,RAT+traj,rat_traj,8,20,,,127.387416893,8.000000000,0.000100000,0.201835504,0.199568043,0.199867663,15.007933293,15.154954652
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Motion-reference,motion_reference,8,20,,,127.387416893,8.000000000,0.000100000,0.502508522,0.479145494,0.494234032,15.099236738,15.257120443
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Random,random,8,20,,,127.387416893,8.000000000,0.000100000,0.107508085,0.101879707,0.096805700,14.612724079,14.753013786
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Shifted-RAT+traj,shifted_rat_traj_r3_c4,8,20,3,4,127.387416893,8.000000000,0.000100000,0.080290184,0.078644022,0.072047649,14.809381176,14.932503419
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,RAT-fusion,rat_fusion,8,20,,,127.387416893,8.000000000,0.000100000,0.210261341,0.208008746,0.209076958,15.039901290,15.199666850
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Shifted-RAT-fusion,shifted_rat_fusion_r3_c4,8,20,3,4,127.387416893,8.000000000,0.000100000,0.096739795,0.089245374,0.083580211,14.711590820,14.837031342
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,VideoMAE-only,videomae_only,8,20,,,127.387416893,8.000000000,0.000100000,0.004020628,0.012478566,0.005313871,13.345347512,13.483931588
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,RAT+traj,rat_traj,42,20,,,127.387416893,8.000000000,0.000100000,0.211397605,0.205786501,0.206268212,15.071714421,15.232714973
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Motion-reference,motion_reference,42,20,,,127.387416893,8.000000000,0.000100000,0.502508522,0.476343227,0.491517610,15.113349409,15.277378399
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Random,random,42,20,,,127.387416893,8.000000000,0.000100000,0.103679748,0.097258207,0.092129548,14.576311040,14.718357708
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Shifted-RAT+traj,shifted_rat_traj_r3_c4,42,20,3,4,127.387416893,8.000000000,0.000100000,0.061760336,0.065176914,0.058006452,14.805589567,14.930917555
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,RAT-fusion,rat_fusion,42,20,,,127.387416893,8.000000000,0.000100000,0.210261341,0.208067055,0.208784598,15.105036048,15.269058381
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Shifted-RAT-fusion,shifted_rat_fusion_r3_c4,42,20,3,4,127.387416893,8.000000000,0.000100000,0.096739795,0.094945287,0.089630958,14.727883814,14.856918678
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,VideoMAE-only,videomae_only,42,20,,,127.387416893,8.000000000,0.000100000,0.004020628,0.011668706,0.004499848,13.328347847,13.470649983
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,RAT+traj,rat_traj,0,20,,,103.175943963,8.000000000,0.000100000,0.381905511,0.356216318,0.347926519,14.109930784,14.375864182
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Motion-reference,motion_reference,0,20,,,103.175943963,8.000000000,0.000100000,0.852662603,0.836371966,0.855339729,14.366826360,14.650555935
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Random,random,0,20,,,103.175943963,8.000000000,0.000100000,0.097670026,0.100523854,0.081202002,13.667660129,13.856847133
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Shifted-RAT+traj,shifted_rat_traj_r3_c4,0,20,3,4,103.175943963,8.000000000,0.000100000,0.088760751,0.100419877,0.079260711,14.130789885,14.331094786
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,RAT-fusion,rat_fusion,0,20,,,103.175943963,8.000000000,0.000100000,0.429826732,0.403245732,0.397512237,14.152675682,14.432412603
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Shifted-RAT-fusion,shifted_rat_fusion_r3_c4,0,20,3,4,103.175943963,8.000000000,0.000100000,0.054497078,0.068915056,0.046993809,13.957332891,14.162495646
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,VideoMAE-only,videomae_only,0,20,,,103.175943963,8.000000000,0.000100000,0.000000000,0.020690941,0.000465426,13.183447645,13.386458216
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,RAT+traj,rat_traj,1,20,,,103.175943963,8.000000000,0.000100000,0.386165175,0.357942171,0.350996681,14.123979153,14.384149648
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Motion-reference,motion_reference,1,20,,,103.175943963,8.000000000,0.000100000,0.852662603,0.830729820,0.847908128,14.345432294,14.646507841
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Random,random,1,20,,,103.175943963,8.000000000,0.000100000,0.097447647,0.103601609,0.083385740,13.659577862,13.852770598
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Shifted-RAT+traj,shifted_rat_traj_r3_c4,1,20,3,4,103.175943963,8.000000000,0.000100000,0.074677236,0.092948445,0.071130655,14.141449152,14.348260718
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,RAT-fusion,rat_fusion,1,20,,,103.175943963,8.000000000,0.000100000,0.429826732,0.402613913,0.395402433,14.141835740,14.430572141
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Shifted-RAT-fusion,shifted_rat_fusion_r3_c4,1,20,3,4,103.175943963,8.000000000,0.000100000,0.054497078,0.069773964,0.047831030,13.973800945,14.184553634
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,VideoMAE-only,videomae_only,1,20,,,103.175943963,8.000000000,0.000100000,0.000000000,0.020711221,0.000465312,13.188706090,13.392485421
