video_id,policy,n_seeds,cover_mean,cover_std,cover_min,cover_max,raw_errshare_mean,raw_errshare_std,raw_errshare_min,raw_errshare_max,inc_errshare_mean,inc_errshare_std,inc_errshare_min,inc_errshare_max
Basketball_v_Basketball_g01_c01,Motion-reference,10,0.464073,0.000000,0.464073,0.464073,0.407596,0.002750,0.403159,0.412764,0.432610,0.002816,0.427845,0.437523
Basketball_v_Basketball_g01_c01,RAT+traj,10,0.116437,0.006491,0.102394,0.125097,0.103496,0.007310,0.088390,0.113981,0.107186,0.007937,0.090129,0.120017
Basketball_v_Basketball_g01_c01,RAT-fusion,10,0.157413,0.000000,0.157413,0.157413,0.141223,0.001898,0.139312,0.144799,0.147638,0.002665,0.143715,0.152812
Basketball_v_Basketball_g01_c01,Random,10,0.100526,0.003523,0.094351,0.106713,0.103483,0.003456,0.098342,0.111634,0.097607,0.003734,0.092182,0.105608
Basketball_v_Basketball_g01_c01,Shifted-RAT+traj,10,0.053304,0.005191,0.042051,0.060452,0.053030,0.004822,0.042256,0.060420,0.053401,0.005086,0.044628,0.063173
Basketball_v_Basketball_g01_c01,Shifted-RAT-fusion,10,0.067176,0.000000,0.067176,0.067176,0.064766,0.001867,0.061694,0.068618,0.066127,0.001546,0.064391,0.069109
Basketball_v_Basketball_g01_c01,VideoMAE-only,10,0.021956,0.000000,0.021956,0.021956,0.028535,0.000469,0.027916,0.029445,0.026947,0.001539,0.024915,0.029527
Basketball_v_Basketball_g02_c01,Motion-reference,10,0.696391,0.000000,0.696391,0.696391,0.620139,0.003243,0.613043,0.625102,0.695150,0.002872,0.689345,0.698282
Basketball_v_Basketball_g02_c01,RAT+traj,10,0.293395,0.011942,0.273957,0.319764,0.272274,0.009765,0.260608,0.296456,0.297559,0.010958,0.284106,0.324477
Basketball_v_Basketball_g02_c01,RAT-fusion,10,0.312542,0.000000,0.312542,0.312542,0.287006,0.002319,0.283904,0.291683,0.314015,0.004256,0.309073,0.321251
Basketball_v_Basketball_g02_c01,Random,10,0.103240,0.009891,0.090758,0.124835,0.106716,0.007636,0.096435,0.122602,0.102772,0.009445,0.088203,0.120511
Basketball_v_Basketball_g02_c01,Shifted-RAT+traj,10,0.054575,0.005112,0.044809,0.063947,0.060575,0.005740,0.049353,0.071283,0.059695,0.006117,0.049045,0.070045
Basketball_v_Basketball_g02_c01,Shifted-RAT-fusion,10,0.061076,0.000000,0.061076,0.061076,0.065971,0.001613,0.063653,0.068235,0.065787,0.002374,0.061930,0.069106
Basketball_v_Basketball_g02_c01,VideoMAE-only,10,0.171205,0.000000,0.171205,0.171205,0.159483,0.001223,0.157258,0.161877,0.173615,0.001718,0.171227,0.176242
