seed,comparison,metric,paired_videos,left_wins,right_wins,ties,mean_diff,ci95_low,ci95_high
4,RAT-fusion vs RAT+traj,cover,20,13,7,0,0.008141,-0.006374,0.023278
4,RAT-fusion vs RAT+traj,raw_errshare,20,13,7,0,0.008145,-0.005286,0.022086
4,RAT-fusion vs RAT+traj,inc_errshare,20,13,7,0,0.009301,-0.005579,0.024176
5,RAT-fusion vs Random,cover,20,20,0,0,0.153270,0.113008,0.193964
5,RAT-fusion vs Random,raw_errshare,20,20,0,0,0.138443,0.100474,0.177878
5,RAT-fusion vs Random,inc_errshare,20,20,0,0,0.151815,0.112518,0.195220
5,RAT-fusion vs Shifted-RAT-fusion,cover,20,20,0,0,0.171796,0.128601,0.216349
5,RAT-fusion vs Shifted-RAT-fusion,raw_errshare,20,20,0,0,0.154008,0.112712,0.196359
5,RAT-fusion vs Shifted-RAT-fusion,inc_errshare,20,20,0,0,0.166904,0.123999,0.211849
5,RAT-fusion vs VideoMAE-only,cover,20,17,3,0,0.185288,0.114965,0.252510
5,RAT-fusion vs VideoMAE-only,raw_errshare,20,18,2,0,0.169449,0.106667,0.230028
5,RAT-fusion vs VideoMAE-only,inc_errshare,20,18,2,0,0.181520,0.112939,0.244677
5,RAT-fusion vs RAT+traj,cover,20,14,6,0,0.007331,-0.007377,0.022087
5,RAT-fusion vs RAT+traj,raw_errshare,20,13,7,0,0.006992,-0.006335,0.021090
5,RAT-fusion vs RAT+traj,inc_errshare,20,13,7,0,0.007718,-0.007160,0.022804
6,RAT-fusion vs Random,cover,20,20,0,0,0.153135,0.113447,0.195890
6,RAT-fusion vs Random,raw_errshare,20,20,0,0,0.138734,0.100095,0.180082
6,RAT-fusion vs Random,inc_errshare,20,20,0,0,0.152198,0.110301,0.195942
6,RAT-fusion vs Shifted-RAT-fusion,cover,20,20,0,0,0.171796,0.128669,0.216177
6,RAT-fusion vs Shifted-RAT-fusion,raw_errshare,20,19,1,0,0.153401,0.112826,0.197344
6,RAT-fusion vs Shifted-RAT-fusion,inc_errshare,20,19,1,0,0.166207,0.122318,0.213538
6,RAT-fusion vs VideoMAE-only,cover,20,17,3,0,0.185288,0.115637,0.252902
6,RAT-fusion vs VideoMAE-only,raw_errshare,20,18,2,0,0.169314,0.105172,0.231757
6,RAT-fusion vs VideoMAE-only,inc_errshare,20,18,2,0,0.181526,0.112474,0.247085
6,RAT-fusion vs RAT+traj,cover,20,13,7,0,0.009223,-0.005122,0.023931
6,RAT-fusion vs RAT+traj,raw_errshare,20,13,7,0,0.008998,-0.005239,0.023256
6,RAT-fusion vs RAT+traj,inc_errshare,20,13,7,0,0.009710,-0.005583,0.025488
7,RAT-fusion vs Random,cover,20,20,0,0,0.154026,0.115289,0.196122
7,RAT-fusion vs Random,raw_errshare,20,20,0,0,0.138303,0.100923,0.177565
7,RAT-fusion vs Random,inc_errshare,20,20,0,0,0.151241,0.112913,0.192066
7,RAT-fusion vs Shifted-RAT-fusion,cover,20,20,0,0,0.171796,0.127648,0.217591
7,RAT-fusion vs Shifted-RAT-fusion,raw_errshare,20,20,0,0,0.152496,0.111059,0.195954
7,RAT-fusion vs Shifted-RAT-fusion,inc_errshare,20,20,0,0,0.165404,0.123450,0.210910
7,RAT-fusion vs VideoMAE-only,cover,20,17,3,0,0.185288,0.112920,0.253179
7,RAT-fusion vs VideoMAE-only,raw_errshare,20,18,2,0,0.168449,0.106122,0.229358
7,RAT-fusion vs VideoMAE-only,inc_errshare,20,18,2,0,0.180661,0.112941,0.244886
7,RAT-fusion vs RAT+traj,cover,20,11,9,0,0.005824,-0.008952,0.020180
7,RAT-fusion vs RAT+traj,raw_errshare,20,11,9,0,0.004035,-0.009371,0.017373
7,RAT-fusion vs RAT+traj,inc_errshare,20,11,9,0,0.004212,-0.010700,0.018797
8,RAT-fusion vs Random,cover,20,20,0,0,0.152957,0.112983,0.196109
8,RAT-fusion vs Random,raw_errshare,20,20,0,0,0.137915,0.100844,0.177565
8,RAT-fusion vs Random,inc_errshare,20,20,0,0,0.150826,0.112167,0.192262
8,RAT-fusion vs Shifted-RAT-fusion,cover,20,20,0,0,0.171796,0.129390,0.216530
8,RAT-fusion vs Shifted-RAT-fusion,raw_errshare,20,20,0,0,0.153482,0.113466,0.196173
8,RAT-fusion vs Shifted-RAT-fusion,inc_errshare,20,20,0,0,0.166338,0.124457,0.210548
8,RAT-fusion vs VideoMAE-only,cover,20,17,3,0,0.185288,0.114722,0.252936
8,RAT-fusion vs VideoMAE-only,raw_errshare,20,18,2,0,0.168408,0.105035,0.227968
8,RAT-fusion vs VideoMAE-only,inc_errshare,20,18,2,0,0.180312,0.113605,0.244267
8,RAT-fusion vs RAT+traj,cover,20,13,7,0,0.010789,-0.003280,0.025222
8,RAT-fusion vs RAT+traj,raw_errshare,20,13,7,0,0.009703,-0.003119,0.022582
8,RAT-fusion vs RAT+traj,inc_errshare,20,13,7,0,0.010689,-0.002952,0.024683
42,RAT-fusion vs Random,cover,20,20,0,0,0.152005,0.111994,0.195019
42,RAT-fusion vs Random,raw_errshare,20,20,0,0,0.135991,0.098749,0.176159
42,RAT-fusion vs Random,inc_errshare,20,20,0,0,0.148560,0.108097,0.190027
42,RAT-fusion vs Shifted-RAT-fusion,cover,20,20,0,0,0.171796,0.128270,0.217790
42,RAT-fusion vs Shifted-RAT-fusion,raw_errshare,20,20,0,0,0.152177,0.111816,0.194620
42,RAT-fusion vs Shifted-RAT-fusion,inc_errshare,20,20,0,0,0.164864,0.123015,0.210114
42,RAT-fusion vs VideoMAE-only,cover,20,17,3,0,0.185288,0.114610,0.255204
42,RAT-fusion vs VideoMAE-only,raw_errshare,20,18,2,0,0.167815,0.104279,0.226431
42,RAT-fusion vs VideoMAE-only,inc_errshare,20,18,2,0,0.179776,0.112602,0.243520
42,RAT-fusion vs RAT+traj,cover,20,10,10,0,0.003870,-0.011121,0.019428
42,RAT-fusion vs RAT+traj,raw_errshare,20,11,9,0,0.003433,-0.010923,0.018558
42,RAT-fusion vs RAT+traj,inc_errshare,20,11,9,0,0.003679,-0.011935,0.019698
