experiment,video_id,class,policy,policy_slug,seed,top_k,offset_row,offset_col,sigma,epsilon,delta,cover,raw_errshare,inc_errshare,raw_psnr,incremental_psnr
E2,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,RAT-fusion,rat_fusion,42,40,,,180.153012646,8.000000000,0.000100000,0.419135116,0.420886123,0.423347640,12.144978152,12.218455258
E2,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Shifted-RAT-fusion,shifted_rat_fusion_r3_c4,42,40,3,4,180.153012646,8.000000000,0.000100000,0.228056499,0.214577362,0.212263614,11.798257381,11.852233806
E2,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,VideoMAE-only,videomae_only,42,40,,,180.153012646,8.000000000,0.000100000,0.059724088,0.053628193,0.048815355,10.944172724,11.012612044
E2,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,RAT+traj,rat_traj,42,10,,,72.956409632,8.000000000,0.000100000,0.382927707,0.343363201,0.346176229,17.107479016,17.675630761
E2,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Motion-reference,motion_reference,42,10,,,72.956409632,8.000000000,0.000100000,0.833881646,0.761585138,0.816551908,17.272821285,17.853747309
E2,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Random,random,42,10,,,72.956409632,8.000000000,0.000100000,0.052415758,0.073510789,0.046852574,16.623570656,17.041115363
E2,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Shifted-RAT+traj,shifted_rat_traj_r3_c4,42,10,3,4,72.956409632,8.000000000,0.000100000,0.003671764,0.037683910,0.003775693,17.223253901,17.679643181
E2,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,RAT-fusion,rat_fusion,42,10,,,72.956409632,8.000000000,0.000100000,0.397455120,0.348246176,0.352992071,17.141509543,17.712489330
E2,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Shifted-RAT-fusion,shifted_rat_fusion_r3_c4,42,10,3,4,72.956409632,8.000000000,0.000100000,0.012239212,0.043941407,0.011825293,17.069972676,17.519784360
E2,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,VideoMAE-only,videomae_only,42,10,,,72.956409632,8.000000000,0.000100000,0.000000000,0.027406631,0.000488317,16.166964708,16.575141338
E2,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,RAT+traj,rat_traj,42,20,,,103.175943963,8.000000000,0.000100000,0.409673196,0.388553236,0.381899339,14.087097631,14.360113713
E2,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Motion-reference,motion_reference,42,20,,,103.175943963,8.000000000,0.000100000,0.852662603,0.829280192,0.847067313,14.332956573,14.634580347
