video_id,metric,control,rat_value,control_value,difference
WalkingWithDog_v_WalkingWithDog_g02_c01,Cover,VideoMAE-only,0.281168000,0.009549000,0.271619000
WalkingWithDog_v_WalkingWithDog_g03_c01,Cover,VideoMAE-only,0.126313000,0.223210000,-0.096897000
WalkingWithDog_v_WalkingWithDog_g04_c01,Cover,VideoMAE-only,0.261167000,0.007697000,0.253470000
BalanceBeam_v_BalanceBeam_g01_c01,Cover,RAT+traj.,0.210261000,0.211398000,-0.001137000
BalanceBeam_v_BalanceBeam_g02_c01,Cover,RAT+traj.,0.429827000,0.409673000,0.020154000
BalanceBeam_v_BalanceBeam_g03_c01,Cover,RAT+traj.,0.441153000,0.446614000,-0.005461000
BalanceBeam_v_BalanceBeam_g10_c03,Cover,RAT+traj.,0.412908000,0.384397000,0.028511000
Basketball_v_Basketball_g01_c01,Cover,RAT+traj.,0.157413000,0.102394000,0.055019000
Basketball_v_Basketball_g02_c01,Cover,RAT+traj.,0.312542000,0.295675000,0.016867000
Basketball_v_Basketball_g03_c01,Cover,RAT+traj.,0.337167000,0.367630000,-0.030463000
Basketball_v_Basketball_g04_c01,Cover,RAT+traj.,0.177698000,0.207575000,-0.029877000
Biking_v_Biking_g01_c01,Cover,RAT+traj.,0.295175000,0.200836000,0.094339000
Biking_v_Biking_g02_c01,Cover,RAT+traj.,0.214874000,0.221501000,-0.006627000
Biking_v_Biking_g03_c01,Cover,RAT+traj.,0.295618000,0.362866000,-0.067248000
Biking_v_Biking_g04_c01,Cover,RAT+traj.,0.187960000,0.218041000,-0.030081000
Diving_v_Diving_g01_c01,Cover,RAT+traj.,0.183052000,0.162369000,0.020683000
Diving_v_Diving_g02_c01,Cover,RAT+traj.,0.153481000,0.140443000,0.013038000
Diving_v_Diving_g03_c01,Cover,RAT+traj.,0.132463000,0.101128000,0.031335000
Diving_v_Diving_g04_c01,Cover,RAT+traj.,0.204834000,0.222849000,-0.018015000
WalkingWithDog_v_WalkingWithDog_g01_c01,Cover,RAT+traj.,0.284778000,0.253315000,0.031463000
WalkingWithDog_v_WalkingWithDog_g02_c01,Cover,RAT+traj.,0.281168000,0.305923000,-0.024755000
WalkingWithDog_v_WalkingWithDog_g03_c01,Cover,RAT+traj.,0.126313000,0.116694000,0.009619000
WalkingWithDog_v_WalkingWithDog_g04_c01,Cover,RAT+traj.,0.261167000,0.291130000,-0.029963000
BalanceBeam_v_BalanceBeam_g01_c01,RawErr,Random,0.208067000,0.097258000,0.110809000
BalanceBeam_v_BalanceBeam_g02_c01,RawErr,Random,0.404538000,0.115068000,0.289470000
BalanceBeam_v_BalanceBeam_g03_c01,RawErr,Random,0.419823000,0.099374000,0.320449000
BalanceBeam_v_BalanceBeam_g10_c03,RawErr,Random,0.395098000,0.101853000,0.293245000
Basketball_v_Basketball_g01_c01,RawErr,Random,0.141384000,0.101458000,0.039926000
Basketball_v_Basketball_g02_c01,RawErr,Random,0.285585000,0.096435000,0.189150000
Basketball_v_Basketball_g03_c01,RawErr,Random,0.311920000,0.112722000,0.199198000
Basketball_v_Basketball_g04_c01,RawErr,Random,0.167105000,0.110483000,0.056622000
